<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
GAZP,0,20121008,100003,158.06000,300
GAZP,0,20121008,100003,158.06000,3000
GAZP,0,20121008,100004,158.06000,1770
GAZP,0,20121008,100004,158.06000,1000
GAZP,0,20121008,100004,158.06000,3000
GAZP,0,20121008,100004,158.06000,100
GAZP,0,20121008,100004,158.06000,660
GAZP,0,20121008,100004,158.06000,1770
GAZP,0,20121008,100004,158.06000,600
GAZP,0,20121008,100004,158.06000,5120
GAZP,0,20121008,100004,158.07000,110
GAZP,0,20121008,100004,158.06000,490
GAZP,0,20121008,100005,158.06000,600
GAZP,0,20121008,100005,158.17000,10
GAZP,0,20121008,100005,158.07000,10
GAZP,0,20121008,100005,158.07000,1130
GAZP,0,20121008,100005,158.07000,1000
GAZP,0,20121008,100005,158.07000,10
GAZP,0,20121008,100005,158.07000,2150
GAZP,0,20121008,100005,158.06000,2550
GAZP,0,20121008,100005,158.06000,4700
GAZP,0,20121008,100005,158.06000,1000
GAZP,0,20121008,100005,158.06000,1260
GAZP,0,20121008,100006,158.07000,700
GAZP,0,20121008,100006,158.07000,100
GAZP,0,20121008,100006,158.06000,18870
GAZP,0,20121008,100006,158.06000,10
GAZP,0,20121008,100006,158.05000,200
GAZP,0,20121008,100006,158.03000,200
GAZP,0,20121008,100006,158.02000,100
GAZP,0,20121008,100006,158.02000,10
GAZP,0,20121008,100006,158.01000,10
GAZP,0,20121008,100006,158.01000,200
GAZP,0,20121008,100006,158.01000,10
GAZP,0,20121008,100006,158.00000,100
GAZP,0,20121008,100006,158.00000,60
GAZP,0,20121008,100006,158.00000,50
GAZP,0,20121008,100006,158.00000,60
GAZP,0,20121008,100006,158.00000,10
GAZP,0,20121008,100006,158.00000,10
GAZP,0,20121008,100006,158.00000,30
GAZP,0,20121008,100006,158.00000,50
GAZP,0,20121008,100006,158.00000,10
GAZP,0,20121008,100006,158.00000,10
GAZP,0,20121008,100007,158.06000,10
GAZP,0,20121008,100007,158.00000,490
GAZP,0,20121008,100007,158.00000,680
GAZP,0,20121008,100007,158.00000,1000
GAZP,0,20121008,100007,158.00000,100
GAZP,0,20121008,100007,158.00000,40
GAZP,0,20121008,100007,158.00000,200
GAZP,0,20121008,100007,158.00000,3000
GAZP,0,20121008,100007,158.00000,10
GAZP,0,20121008,100007,158.00000,10
GAZP,0,20121008,100007,157.99000,30
GAZP,0,20121008,100007,157.97000,200
GAZP,0,20121008,100007,157.95000,60
GAZP,0,20121008,100007,157.95000,20
GAZP,0,20121008,100007,157.98000,340
GAZP,0,20121008,100007,157.98000,160
GAZP,0,20121008,100007,157.98000,10
GAZP,0,20121008,100007,157.98000,240
GAZP,0,20121008,100007,158.00000,870
GAZP,0,20121008,100007,158.00000,150
GAZP,0,20121008,100007,158.05000,10
GAZP,0,20121008,100007,158.06000,450
GAZP,0,20121008,100007,158.06000,350
GAZP,0,20121008,100007,158.07000,15930
GAZP,0,20121008,100007,157.95000,120
GAZP,0,20121008,100007,157.94000,130
GAZP,0,20121008,100007,157.93000,200
GAZP,0,20121008,100007,157.93000,50
GAZP,0,20121008,100007,157.93000,10
GAZP,0,20121008,100007,157.97000,10
GAZP,0,20121008,100007,157.93000,70
GAZP,0,20121008,100007,157.92000,10
GAZP,0,20121008,100007,157.92000,130
GAZP,0,20121008,100007,157.91000,200
GAZP,0,20121008,100007,157.88000,20
GAZP,0,20121008,100008,157.97000,1980
GAZP,0,20121008,100008,157.99000,1890
GAZP,0,20121008,100008,157.99000,100
GAZP,0,20121008,100008,157.88000,10
GAZP,0,20121008,100008,157.99000,20
GAZP,0,20121008,100008,157.90000,50
GAZP,0,20121008,100008,157.99000,80
GAZP,0,20121008,100008,157.99000,130
GAZP,0,20121008,100008,157.99000,210
GAZP,0,20121008,100008,157.99000,190
GAZP,0,20121008,100008,157.99000,400
GAZP,0,20121008,100008,157.99000,400
GAZP,0,20121008,100008,157.99000,10
GAZP,0,20121008,100008,157.99000,4550
GAZP,0,20121008,100008,158.00000,5450
GAZP,0,20121008,100008,158.00000,10
GAZP,0,20121008,100008,158.00000,10
GAZP,0,20121008,100009,158.00000,200
GAZP,0,20121008,100009,157.94000,400
GAZP,0,20121008,100009,157.94000,100
GAZP,0,20121008,100009,157.94000,400
GAZP,0,20121008,100009,157.93000,300
GAZP,0,20121008,100009,157.94000,240
GAZP,0,20121008,100009,158.00000,60
GAZP,0,20121008,100009,158.00000,300
GAZP,0,20121008,100009,158.00000,1800
GAZP,0,20121008,100009,158.00000,400
GAZP,0,20121008,100009,158.00000,300
GAZP,0,20121008,100009,157.93000,600
GAZP,0,20121008,100009,158.00000,1300
GAZP,0,20121008,100009,158.00000,1100
GAZP,0,20121008,100009,158.00000,600
GAZP,0,20121008,100010,157.94000,10
GAZP,0,20121008,100010,158.00000,100
GAZP,0,20121008,100010,158.00000,400
GAZP,0,20121008,100010,158.00000,900
GAZP,0,20121008,100010,158.00000,100
GAZP,0,20121008,100010,158.00000,20000
GAZP,0,20121008,100010,158.00000,400
GAZP,0,20121008,100010,157.95000,10
GAZP,0,20121008,100010,158.00000,1000
GAZP,0,20121008,100010,158.00000,1000
GAZP,0,20121008,100010,158.00000,300
GAZP,0,20121008,100010,158.00000,400
GAZP,0,20121008,100010,158.00000,100
GAZP,0,20121008,100010,158.00000,400
GAZP,0,20121008,100010,158.00000,500
GAZP,0,20121008,100010,157.95000,10
GAZP,0,20121008,100010,158.00000,10
GAZP,0,20121008,100011,158.00000,900
GAZP,0,20121008,100011,158.00000,100
GAZP,0,20121008,100011,158.00000,100
GAZP,0,20121008,100011,158.00000,1100
GAZP,0,20121008,100011,158.00000,800
GAZP,0,20121008,100011,158.00000,20
GAZP,0,20121008,100011,158.00000,400
GAZP,0,20121008,100011,158.00000,100
GAZP,0,20121008,100011,158.00000,300
GAZP,0,20121008,100011,158.00000,100
GAZP,0,20121008,100011,158.00000,1000
GAZP,0,20121008,100011,158.00000,900
GAZP,0,20121008,100012,158.00000,1000
GAZP,0,20121008,100012,158.00000,100
GAZP,0,20121008,100012,158.00000,2200
GAZP,0,20121008,100012,158.00000,200
GAZP,0,20121008,100012,158.00000,100
GAZP,0,20121008,100012,158.00000,400
GAZP,0,20121008,100012,158.00000,400
GAZP,0,20121008,100012,158.00000,1000
GAZP,0,20121008,100012,158.00000,400
